ID,nome,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
E135,Eleonora Arilda Penedo Gomes de Padilha,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
9169,Elisangela Gabrielle de Osorio,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
F345,Jose Tulio de Cabral,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
F327,Ezequiel Edivaldo de Medeiros Sonao,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
FEBC,Fagner Josiel dos Santos,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
C24E,Magali Luzimara da Silva,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
8577,Victor Plinio Shufrouze,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
F612,Laercio Rossi,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
86D6,"Francisco A,ngelo de Toledo Seixas",Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
5ACC,Fabricio Rangel de Goncalves dos Santos,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
C822,Laila da Silva,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
806C,Nivaldo Ademar Valverde dos Santos,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
1229,Mariano Rosa da Graca Neto,Masculino,18,Preto,Pos graduacao,SC,,Administrativo,Analista Junior
ACCB,Eulalia Brasil de Bezerra,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
9EBC,Marlon Rafael do Nascimento Uason,Masculino,19,Branco,Ensino Medio,AM,,Administrativo,Analista Junior
EF9B,Cesar da Paraiba,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
B7E4,Toninho Nivaldo Siato,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
6673,Fabiano Tales Negrao,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
8BF4,Adonis Otto de Aguiar da Lira,Masculino,18,Branco,Ensino Medio,CE,,Contabilidade,Gerente
560C,Alvaro Cristiano Schmidt,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
9749,Arthur Uckimovic Junior,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
2508,Mariano de Angola Onmmylte Neto,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
775E,Milton Eugenio Shetum de Figueira,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
2906,Ricardo Diogo da Luz Nile Neto,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
908E,Heloisa Laura Eala Aisvic,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
15F5,Henrique Inacio Lussolson Tegego,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
24AD,Milene Thais Aciz,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
DCA2,Patricia de Miranda Xizu,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
E403,Valdirene Nunes,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
DC07,Rafaela Paim do Amaral,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
