,ID,nome,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
0,E930,Eleonora Arilda Penedo Gomes de Padilha,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
1,BBE3,Elisangela Gabrielle de Osorio,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
2,3A60,Jose Tulio de Cabral,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
3,21B7,Ezequiel Edivaldo de Medeiros Sonao,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
4,D53F,Fagner Josiel dos Santos,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
5,B6FA,Magali Luzimara da Silva,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
6,C7EC,Victor Plinio Shufrouze,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
7,E86F,Laercio Rossi,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
8,E5C9,"Francisco A,ngelo de Toledo Seixas",Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
9,EA52,Fabricio Rangel de Goncalves dos Santos,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
10,F97F,Laila da Silva,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
11,02F1,Nivaldo Ademar Valverde dos Santos,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
12,53DC,Mariano Rosa da Graca Neto,Masculino,18,Preto,Pos graduacao,SC,8,Administrativo,Analista Junior
13,8DA9,Eulalia Brasil de Bezerra,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
14,6451,Marlon Rafael do Nascimento Uason,Masculino,19,Branco,Ensino Medio,AM,6,Administrativo,Analista Junior
15,DBF8,Cesar da Paraiba,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
16,08B4,Toninho Nivaldo Siato,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
17,7772,Fabiano Tales Negrao,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
18,416E,Adonis Otto de Aguiar da Lira,Masculino,18,Branco,Ensino Medio,CE,5,Contabilidade,Gerente
19,24AC,Alvaro Cristiano Schmidt,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
20,AFA4,Arthur Uckimovic Junior,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
21,9976,Emilio Bahia,Masculino,49,Pardo,Doutorado,AC,6,Contabilidade,Estagiario
22,0CBA,Mariano de Angola Onmmylte Neto,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
23,32C3,Milton Eugenio Shetum de Figueira,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
24,00E4,Ricardo Diogo da Luz Nile Neto,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
25,0CD9,Aline de Uchoa,Feminino,31,Pardo,Ensino Superior,SP,4,Contabilidade,Estagiario
26,C5C2,Heloisa Laura Eala Aisvic,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
27,E0D2,Henrique Inacio Lussolson Tegego,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
28,185A,Milene Thais Aciz,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
29,34A1,Patricia de Miranda Xizu,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
30,DF0A,Valdirene Nunes,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
31,CC80,Rafaela Paim do Amaral,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
32,12D1,Berenice Tono,Feminino,18,Branco,Mestrado,PI,5,Marketing,Analista Junior
33,5B9F,Juliano d'Avila Junior,Masculino,43,Branco,Ensino Superior,PR,,Marketing,Analista Junior
34,5A90,Yuri Gois Dutra,Masculino,44,Branco,Ensino Superior,PE,4,Operacoes,Gerente
35,CCB0,Edson Felipe Ieldi Girru,Masculino,47,Pardo,Ensino Superior,CE,2,Administrativo,Estagiario
36,B785,Ali Tulio de Miranda,Masculino,33,Branco,Ensino Superior,CE,4,Compras,Analista Pleno
37,EDAA,Ayrton Ricardo do Espirito Santo Gomes,Masculino,31,Pardo,Ensino Superior,TO,6,Desenvolvimento de Produtos,Analista Pleno
38,6E20,Samia Juliana do Espirito Santo de Tavares,Feminino,27,Preto,Ensino Medio,MT,0,Administrativo,Analista Junior
39,2B3E,Zuleide Castelo,Feminino,28,Preto,Ensino Superior,RJ,8,Marketing,Analista Senior
