ID,nome,genero,idade,raca,formacao,estado,tempo_de_casa,departamento,senioridade
9B4A,Sandro Fagner Dutra dos Santos da Silva,Masc,16,branco,,AC,7.0,Recursos Humanos,Gerente
1E7A,Jack Fiyita,Masc,17,branco,,AL,7.0,Compras,Analista Pleno
842E,Reginaldo de Mello da Costa Junior,Masc,16,branco,,MG,-3.0,Administrativo,Gerente
6392,Gabriel Nicolau Rangel,Masc,17,branco,,SP,6.0,TI,Gerente
D5C0,Eric Victor de Garcia,Masc,16,branco,,DF,4.0,Desenvolvimento de Produtos,Analista Senior
2F76,Eliane Shoa Trevisan,Fem,15,branco,,RR,0.0,Vendas,Diretor
EE0E,Bartolomeu Iago de Franca Iusov,Masc,15,branco,,AC,9.0,Contabilidade,Analista Junior
5275,Walter Cleberson Gomes de Machado,Masc,16,branco,,RO,2.0,Recursos Humanos,Analista Senior
C0FC,Raquel dos Santos,Fem,15,branco,,MG,2.0,Vendas,Analista Junior
1C00,Jonathas Vinicius de Oliveira,Masc,16,branco,,SE,0.0,Marketing,Gerente
AEE8,Pablo de Souza Dlao da Silva,Masc,15,branco,,TO,9.0,TI,Analista Pleno
FA61,Toninho Leandro Uzgazsume Junior,Masc,17,branco,,AP,8.0,Operacoes,Analista Pleno
93AA,Luke de Lacerda,Masc,16,branco,,PR,6.0,Marketing,Analista Senior
EF05,Rodrigo Griswociman Rangel Junior,Masc,17,branco,,SP,4.0,Compras,Gerente
65E5,Patrick Victor de Osorio Schmidt,Masc,17,branco,,MG,5.0,Vendas,Gerente
4B5A,Aureo Felix Ipuvic,Masc,16,indigena,Pos graduacao,CE,1.0,TI,Gerente
5DF4,"Marlon A,ngelo da Cunha",Masc,17,branco,,MG,2.0,Desenvolvimento de Produtos,Analista Pleno
0E64,Jorge Shimosa,Masc,17,preto,Ensino Superior,AP,2.0,Contabilidade,Analista Junior
D314,Lais Taina Oeman,Fem,14,branco,,PR,7.0,Compras,Analista Senior
9576,Leonardo Joel de Souza,Masc,16,branco,,AP,10.0,Desenvolvimento de Produtos,Analista Junior
824C,Joao Manoel Biaov de Fraga,Masc,16,preto,Ensino Superior,PR,4.0,Compras,Analista Pleno
2068,Rogerio de Franca,Masc,15,branco,,GO,6.0,Contabilidade,Analista Junior
EF75,Damiao de Assuncao Junior,Masc,17,preto,Ensino Superior,MT,10.0,TI,Analista Pleno
8EE6,Anne Eliane Audo de Pimentel,Fem,17,branco,,PE,4.0,Contabilidade,Analista Senior
CAE3,Adilson Henrique Wolernmian Junior,Masc,16,branco,,AL,3.0,Compras,Analista Senior
233C,Isaiane de Junqueira,Fem,16,branco,,AC,5.0,Desenvolvimento de Produtos,Analista Junior
1D5F,Cristiano da Silva de Queiroz Werner,Masc,15,preto,Ensino Superior,MS,9.0,Recursos Humanos,Analista Junior
3F17,Aurelio Jackson Sudo de Barbosa Vakae,Masc,15,branco,,GO,3.0,Marketing,Analista Junior
